image_id,raw_path,processed_path,status,action,reason,sha256,dhash,width,height,raw_mode,processed_mode,is_grayscale,processed_size_bytes
caltech_BACKGROUND_Google_001,data/raw/caltech_BACKGROUND_Google_001.jpg,data/processed/caltech_BACKGROUND_Google_001.png,VALID,KEPT_UNCHANGED,Passed all integrity and duplicate checks,7a12d0fa6c88bdd2921059790dcb838b00276677631131d64c35cf3a4c3eedef,63b533b43273b2a9,145.0,144.0,RGB,RGB,False,42441.0
caltech_BACKGROUND_Google_002,data/raw/caltech_BACKGROUND_Google_002.jpg,data/processed/caltech_BACKGROUND_Google_002.png,VALID,KEPT_UNCHANGED,Passed all integrity and duplicate checks,4684cc4409ed9336b6ac3652208e10fca2c1cbad8245515645294271f66ac31c,816d4ec98dadad4a,656.0,817.0,RGB,RGB,False,378850.0
caltech_BACKGROUND_Google_003,data/raw/caltech_BACKGROUND_Google_003.jpg,data/processed/caltech_BACKGROUND_Google_003.png,VALID,KEPT_UNCHANGED,Passed all integrity and duplicate checks,2c4801d0df2ed0387f0d6f77976d831ee0b5ccb3a86a729d5f3658577f817fbe,8014613171c11440,144.0,144.0,RGB,RGB,True,5210.0
caltech_BACKGROUND_Google_004,data/raw/caltech_BACKGROUND_Google_004.jpg,data/processed/caltech_BACKGROUND_Google_004.png,VALID,KEPT_UNCHANGED,Passed all integrity and duplicate checks,e6d6539f068113fb92cd8a0d7334bce2a3580cf94054f5a86589e5971491cd6a,d4d4e32f16475700,200.0,200.0,RGB,RGB,False,64658.0
caltech_BACKGROUND_Google_005,data/raw/caltech_BACKGROUND_Google_005.jpg,data/processed/caltech_BACKGROUND_Google_005.png,VALID,KEPT_UNCHANGED,Passed all integrity and duplicate checks,69490e33c3e0c607b6060ee863c1c7867cc3889752ed438ec2371e1452d4f128,58191e89e9494848,180.0,199.0,RGB,RGB,False,63644.0
caltech_BACKGROUND_Google_006,data/raw/caltech_BACKGROUND_Google_006.jpg,data/processed/caltech_BACKGROUND_Google_006.png,VALID,CONVERTED_FROM_GRAYSCALE,Passed all integrity and duplicate checks,15c9c17f53c36ce2a903d4e0f1c4dab3fb005d86549dad0422c78e99991f885b,0fbdadadbd2d2db3,700.0,889.0,L,RGB,True,573329.0
caltech_BACKGROUND_Google_007,data/raw/caltech_BACKGROUND_Google_007.jpg,data/processed/caltech_BACKGROUND_Google_007.png,VALID,KEPT_UNCHANGED,Passed all integrity and duplicate checks,8e9edb9988a80fa24a526b26c57490fcce6201f398cee9773cee7d8ee302842e,fc7dc9cdcc6aeded,150.0,176.0,RGB,RGB,False,53491.0
caltech_BACKGROUND_Google_008,data/raw/caltech_BACKGROUND_Google_008.jpg,data/processed/caltech_BACKGROUND_Google_008.png,VALID,KEPT_UNCHANGED,Passed all integrity and duplicate checks,9ac0afc2869f06e7be7ef694fa22d52c76fc38a11575022fe48223389d55c8fd,d2d2d6d2d6d2d2d6,439.0,382.0,RGB,RGB,False,196689.0
caltech_BACKGROUND_Google_009,data/raw/caltech_BACKGROUND_Google_009.jpg,data/processed/caltech_BACKGROUND_Google_009.png,VALID,KEPT_UNCHANGED,Passed all integrity and duplicate checks,0eb0ed1f4feab72d461ed18a962b71862ffb7d580570333068fd412f293debbc,4aca686929293420,500.0,296.0,RGB,RGB,False,275942.0
caltech_BACKGROUND_Google_010,data/raw/caltech_BACKGROUND_Google_010.jpg,data/processed/caltech_BACKGROUND_Google_010.png,VALID,KEPT_UNCHANGED,Passed all integrity and duplicate checks,f1b812708cd6e53baff6074e3563af5224caf205a61f1fcfeda7f9bf6f35ac8c,4e5dd9682d6ee284,500.0,500.0,RGB,RGB,False,214765.0
