image_id,file_path,split,raw_bytes,lossless_codec,lossless_bytes,lossless_cr,lossy_codec,lossy_quality,lossy_bytes,lossy_cr,size_saving_ratio,psnr,ssim,dark_ssim,banding_score,quality_passed,saving_passed,dark_passed,label,is_lossy_binary
kodim17,data/raw/kodim17.png,train,1179648,png,533799,2.2099104719192058,jpeg,85,184859,6.381339291027215,0.6536917453948021,29.361398940388227,0.9305920467256037,0.8782180547527746,0.5881780187845469,False,True,False,LOSSLESS,0
kodim16,data/raw/kodim16.png,train,1179648,png,533590,2.210776064019191,jpeg,85,184853,6.381546417964545,0.6535673457148747,29.36587032138651,0.9303727854938398,0.8780347747688376,0.5889123326300211,False,True,False,LOSSLESS,0
kodim19,data/raw/kodim19.png,train,1179648,png,533549,2.2109459487319816,jpeg,85,184811,6.3829966830978675,0.6536194426378833,29.37091917555947,0.9302613457326153,0.8764139615382628,0.5887904189222287,False,True,False,LOSSLESS,0
kodim20,data/raw/kodim20.png,train,1179648,png,533657,2.2104985037205545,jpeg,85,184833,6.382236938209086,0.6536483171775129,29.377884574578275,0.9306089212396133,0.8784484896218306,0.5886277096513057,False,True,False,LOSSLESS,0
kodim10,data/raw/kodim10.png,train,1179648,png,602278,1.9586436828175693,jpeg,85,86229,13.68040914309571,0.8568285741800298,38.97979583791154,0.9508158984606666,0.9635038860009848,0.01078077728647894,True,True,True,LOSSY,1
kodim08,data/raw/kodim08.png,train,1179648,png,773497,1.5250841309016065,jpeg,85,155600,7.581285347043702,0.7988356774492984,35.16651698996296,0.9623993137808945,0.9681364076299075,0.006126040014772011,True,True,True,LOSSY,1
kodim18,data/raw/kodim18.png,train,1179648,png,533721,2.2102334365707925,jpeg,85,184839,6.382029766445393,0.6536786073622736,29.371167476370715,0.9304591206974252,0.8767561319663069,0.5885889037132535,False,True,False,LOSSLESS,0
kodim24,data/raw/kodim24.png,train,1179648,png,533704,2.2103038388320115,jpeg,85,184742,6.385380693074667,0.6538493247193201,29.375057007190012,0.9304415403980612,0.8777216893859573,0.5890634299060279,False,True,False,LOSSLESS,0
kodim07,data/raw/kodim07.png,train,1179648,png,581489,2.028667782193644,jpeg,85,88703,13.298851222619303,0.847455411882254,39.47205742883622,0.9704869910829773,0.9853196724513708,0.0537631942573088,True,True,True,LOSSY,1
kodim11,data/raw/kodim11.png,train,1179648,png,632921,1.8638155472799922,jpeg,85,109712,10.752224004666765,0.8266576713365491,37.06011878205426,0.9530226645909775,0.964871905620628,0.13684752747252749,True,True,True,LOSSY,1
kodim04,data/raw/kodim04.png,train,1179648,png,651228,1.8114208848513884,jpeg,85,96716,12.197030480995906,0.85148672968607,38.08195702065093,0.9472848032925416,0.9612819213461322,0.008034075286675832,True,True,True,LOSSY,1
kodim01,data/raw/kodim01.png,train,1179648,png,753927,1.5646713806509118,jpeg,85,139387,8.463113489780252,0.8151187051266237,35.15432588758202,0.9592234972398845,0.9732235022595598,0.015316659017898119,True,True,True,LOSSY,1
kodim21,data/raw/kodim21.png,train,1179648,png,533643,2.210556495634722,jpeg,85,185107,6.372789791850119,0.6531257788446583,29.37214935636908,0.9304190424873067,0.8781919868496025,0.5885877332373899,False,True,False,LOSSLESS,0
kodim13,data/raw/kodim13.png,train,1179648,png,872601,1.3518755995008027,jpeg,85,174570,6.7574497336312085,0.7999429292425748,33.672277457888654,0.9542860753381285,0.9513212862071316,0.009640815630065695,True,True,True,LOSSY,1
edge_06_mixed_hdr,data/raw/edge_06_mixed_hdr.png,train,1179648,png,816473,1.444809565043792,jpeg,85,103444,11.403735354394648,0.8733038324598609,31.349743702586316,0.7365532192683809,0.8090297099825823,0.0030021587961661478,False,True,False,LOSSLESS,0
edge_01_smooth_gradient,data/raw/edge_01_smooth_gradient.png,train,1179648,png,2460,479.5317073170732,jpeg,85,17760,66.42162162162163,-6.219512195121951,50.81441239778523,0.9970888432363477,0.9950465409090834,0.5481770833333334,True,False,True,LOSSLESS,0
edge_05_clean_flat_poster,data/raw/edge_05_clean_flat_poster.png,train,1179648,png,2346,502.83375959079285,jpeg,85,12113,97.38693965161397,-4.163256606990623,51.65262878979273,0.9999739274015114,1.0,1.0,True,False,True,LOSSLESS,0
kodim06,data/raw/kodim06.png,val,1179648,png,655035,1.8008930820490507,jpeg,85,114267,10.323610491217936,0.8255558863266849,36.5259604436161,0.9581958074109925,0.9742378150751825,0.10627306966216153,True,True,True,LOSSY,1
kodim12,data/raw/kodim12.png,val,1179648,png,580778,2.0311513177152025,jpeg,85,79598,14.82007085605166,0.86294591048559,39.153795141562455,0.9512153064895612,0.9937078364829945,0.03082203755288523,True,True,True,LOSSY,1
kodim15,data/raw/kodim15.png,val,1179648,png,621734,1.8973516005236966,jpeg,85,88714,13.297202245417859,0.85731196942744,38.146831366486424,0.9483859235257314,0.9559551516988563,0.08188524764930386,True,True,True,LOSSY,1
kodim23,data/raw/kodim23.png,val,1179648,png,533623,2.2106393465049297,jpeg,85,184778,6.3841366396432475,0.6537293182640178,29.368058641770325,0.930235291571794,0.8779428766828119,0.5886156598389942,False,True,False,LOSSLESS,0
edge_03_dense_texture,data/raw/edge_03_dense_texture.png,val,1179648,png,201892,5.842965545935451,jpeg,85,156837,7.521490464622506,0.22316386979176986,39.38622261123182,0.9850341482265419,1.0,0.001283477368015744,True,False,True,LOSSLESS,0
kodim03,data/raw/kodim03.png,test,1179648,png,551636,2.13845361796547,jpeg,85,73743,15.996745453805785,0.8663194570332611,39.686747955231915,0.9631892052568022,0.9736476268894125,0.07542928475223735,True,True,True,LOSSY,1
kodim05,data/raw/kodim05.png,test,1179648,png,802262,1.470402437109074,jpeg,85,157164,7.5058410322974725,0.804098910331039,35.675015304210696,0.9672105258396403,0.9696200657753303,0.0027536830510808204,True,True,True,LOSSY,1
kodim22,data/raw/kodim22.png,test,1179648,png,533727,2.2102085897846653,jpeg,85,185138,6.371722714947769,0.6531222891103504,29.367717421046052,0.9306972193840215,0.8785632841607249,0.5883357723292995,False,True,False,LOSSLESS,0
kodim02,data/raw/kodim02.png,test,1179648,png,629429,1.8741557824631532,jpeg,85,97113,12.147168762163664,0.8457125426378511,37.770360777044935,0.9365780944869632,0.9634177752240332,0.008625347455034274,False,True,True,LOSSLESS,0
kodim14,data/raw/kodim14.png,test,1179648,png,729338,1.6174229232536903,jpeg,85,134355,8.780082616947638,0.8157849995475349,35.88206321683251,0.9512282506697058,0.9591535488952185,0.004248832999904735,True,True,True,LOSSY,1
kodim09,data/raw/kodim09.png,test,1179648,png,587092,2.0093068888692063,jpeg,85,78054,15.113229302790376,0.8670497979873683,39.11468501682852,0.9484258442314827,0.986480087864431,0.014612283988786246,True,True,True,LOSSY,1
