image_id,original_filename,file_path,source_dataset,source_category,file_format,original_width,original_height,number_of_channels,file_size
caltech_BACKGROUND_Google_001,caltech_BACKGROUND_Google_001.jpg,data/raw/caltech_BACKGROUND_Google_001.jpg,Caltech-101,BACKGROUND_Google,JPEG,145,144,3,7416
caltech_BACKGROUND_Google_002,caltech_BACKGROUND_Google_002.jpg,data/raw/caltech_BACKGROUND_Google_002.jpg,Caltech-101,BACKGROUND_Google,JPEG,656,817,3,105621
caltech_BACKGROUND_Google_003,caltech_BACKGROUND_Google_003.jpg,data/raw/caltech_BACKGROUND_Google_003.jpg,Caltech-101,BACKGROUND_Google,JPEG,144,144,3,3161
caltech_BACKGROUND_Google_004,caltech_BACKGROUND_Google_004.jpg,data/raw/caltech_BACKGROUND_Google_004.jpg,Caltech-101,BACKGROUND_Google,JPEG,200,200,3,10071
caltech_BACKGROUND_Google_005,caltech_BACKGROUND_Google_005.jpg,data/raw/caltech_BACKGROUND_Google_005.jpg,Caltech-101,BACKGROUND_Google,JPEG,180,199,3,9629
caltech_BACKGROUND_Google_006,caltech_BACKGROUND_Google_006.jpg,data/raw/caltech_BACKGROUND_Google_006.jpg,Caltech-101,BACKGROUND_Google,JPEG,700,889,1,143671
caltech_BACKGROUND_Google_007,caltech_BACKGROUND_Google_007.jpg,data/raw/caltech_BACKGROUND_Google_007.jpg,Caltech-101,BACKGROUND_Google,JPEG,150,176,3,8343
caltech_BACKGROUND_Google_008,caltech_BACKGROUND_Google_008.jpg,data/raw/caltech_BACKGROUND_Google_008.jpg,Caltech-101,BACKGROUND_Google,JPEG,439,382,3,38252
caltech_BACKGROUND_Google_009,caltech_BACKGROUND_Google_009.jpg,data/raw/caltech_BACKGROUND_Google_009.jpg,Caltech-101,BACKGROUND_Google,JPEG,500,296,3,35727
caltech_BACKGROUND_Google_010,caltech_BACKGROUND_Google_010.jpg,data/raw/caltech_BACKGROUND_Google_010.jpg,Caltech-101,BACKGROUND_Google,JPEG,500,500,3,28164
caltech_Faces_001,caltech_Faces_001.jpg,data/raw/caltech_Faces_001.jpg,Caltech-101,Faces,JPEG,510,337,3,30939
caltech_Faces_002,caltech_Faces_002.jpg,data/raw/caltech_Faces_002.jpg,Caltech-101,Faces,JPEG,519,343,3,41396
caltech_Faces_003,caltech_Faces_003.jpg,data/raw/caltech_Faces_003.jpg,Caltech-101,Faces,JPEG,492,325,3,33744
caltech_Faces_004,caltech_Faces_004.jpg,data/raw/caltech_Faces_004.jpg,Caltech-101,Faces,JPEG,538,355,3,37201
caltech_Faces_005,caltech_Faces_005.jpg,data/raw/caltech_Faces_005.jpg,Caltech-101,Faces,JPEG,528,349,3,27077
caltech_Faces_006,caltech_Faces_006.jpg,data/raw/caltech_Faces_006.jpg,Caltech-101,Faces,JPEG,513,339,3,34961
caltech_Faces_007,caltech_Faces_007.jpg,data/raw/caltech_Faces_007.jpg,Caltech-101,Faces,JPEG,545,360,3,33149
caltech_Faces_008,caltech_Faces_008.jpg,data/raw/caltech_Faces_008.jpg,Caltech-101,Faces,JPEG,555,367,3,27055
caltech_Faces_009,caltech_Faces_009.jpg,data/raw/caltech_Faces_009.jpg,Caltech-101,Faces,JPEG,504,333,3,21642
caltech_Faces_010,caltech_Faces_010.jpg,data/raw/caltech_Faces_010.jpg,Caltech-101,Faces,JPEG,532,351,3,25837
caltech_Faces_easy_001,caltech_Faces_easy_001.jpg,data/raw/caltech_Faces_easy_001.jpg,Caltech-101,Faces_easy,JPEG,290,334,3,17467
caltech_Faces_easy_002,caltech_Faces_easy_002.jpg,data/raw/caltech_Faces_easy_002.jpg,Caltech-101,Faces_easy,JPEG,263,332,3,19735
caltech_Faces_easy_003,caltech_Faces_easy_003.jpg,data/raw/caltech_Faces_easy_003.jpg,Caltech-101,Faces_easy,JPEG,279,308,3,17369
caltech_Faces_easy_004,caltech_Faces_easy_004.jpg,data/raw/caltech_Faces_easy_004.jpg,Caltech-101,Faces_easy,JPEG,261,322,3,15266
caltech_Faces_easy_005,caltech_Faces_easy_005.jpg,data/raw/caltech_Faces_easy_005.jpg,Caltech-101,Faces_easy,JPEG,290,330,3,17342
caltech_Faces_easy_006,caltech_Faces_easy_006.jpg,data/raw/caltech_Faces_easy_006.jpg,Caltech-101,Faces_easy,JPEG,289,329,3,20083
caltech_Faces_easy_007,caltech_Faces_easy_007.jpg,data/raw/caltech_Faces_easy_007.jpg,Caltech-101,Faces_easy,JPEG,276,342,3,17327
caltech_Faces_easy_008,caltech_Faces_easy_008.jpg,data/raw/caltech_Faces_easy_008.jpg,Caltech-101,Faces_easy,JPEG,287,335,3,15643
caltech_Faces_easy_009,caltech_Faces_easy_009.jpg,data/raw/caltech_Faces_easy_009.jpg,Caltech-101,Faces_easy,JPEG,263,324,3,13059
caltech_Faces_easy_010,caltech_Faces_easy_010.jpg,data/raw/caltech_Faces_easy_010.jpg,Caltech-101,Faces_easy,JPEG,264,331,3,14245
