image_id,split,mean_luminance,std_luminance,skew_luminance,kurtosis_luminance,dark_pixel_ratio,bright_pixel_ratio,rms_contrast,local_variance_mean,local_variance_std,glcm_contrast,glcm_dissimilarity,glcm_homogeneity,glcm_energy,glcm_correlation,sobel_mean_magnitude,sobel_max_magnitude,sobel_edge_density,laplacian_variance,noise_estimate,dark_chroma_variance,shannon_entropy_y,color_entropy_mean,colorfulness,chroma_std_u,chroma_std_v
kodim17,train,140.23992919921875,65.62394714355469,-0.02394295297563076,-1.834945559501648,0.00353240966796875,0.125,0.46794052913697376,170.51502990722656,405.2623596191406,1.1255698704172332,0.5504797344989317,0.7750128208753732,0.33210953035357743,0.9663951630000649,35.87431716918945,667.0800170898438,0.4267476399739583,2405.52294921875,7.683667010218151,135.8848876953125,6.709023744080278,6.893731772642944,59.80574785930471,21.145063400268555,12.647133827209473
kodim16,train,140.27378845214844,65.59031677246094,-0.023840738460421562,-1.8351563215255737,0.0034077962239583335,0.125,0.4675878296909898,170.7136688232422,406.5372619628906,1.1240687982712538,0.549572812458833,0.7753332037552952,0.3322092593900336,0.9664139803687989,35.87790298461914,703.98779296875,0.42785898844401044,2403.041015625,7.641240747167827,147.92127990722656,6.70877127505368,6.893308997836954,59.8110594619838,21.167152404785156,12.605809211730957
kodim19,train,140.23855590820312,65.62014770507812,-0.023497359827160835,-1.835479974746704,0.00357818603515625,0.125,0.4679180187801814,170.16146850585938,406.6291198730469,1.1206534009028617,0.5492026310222169,0.7753158424232497,0.3322836147897062,0.9665576234027524,35.85004806518555,664.8499755859375,0.4270426432291667,2379.4736328125,7.6138614615139595,143.38369750976562,6.706845194627066,6.892306176082243,59.772347474716014,21.139585494995117,12.615558624267578
kodim20,train,140.2131805419922,65.64710998535156,-0.023582663387060165,-1.8356959819793701,0.0034281412760416665,0.125,0.46819499610092674,170.9065399169922,410.1515197753906,1.123615795389747,0.549185093011285,0.7755106760805998,0.3323028773797074,0.9664971232353278,35.791534423828125,692.4756469726562,0.42700449625651044,2401.570068359375,7.669564312061316,135.43558883666992,6.707701221033156,6.892670124187241,59.780304367171695,21.14124870300293,12.625030517578125
kodim10,train,121.2986068725586,39.42408752441406,0.284983366727829,1.1229519844055176,0.033589680989583336,0.0191802978515625,0.3250168177184248,257.6958923339844,684.6915893554688,1.0076277523824348,0.43363865690883746,0.8248661936973537,0.2744188912757817,0.9167098014971357,45.267120361328125,1019.4444580078125,0.3535054524739583,622.1296997070312,2.236253885390566,19.444421768188477,7.1362821572108945,7.147616130085947,21.47081625389703,6.543704509735107,6.3426971435546875
kodim08,train,122.55733489990234,63.27834701538086,0.5697858929634094,-0.7047498226165771,0.05312347412109375,0.1527684529622396,0.5163162739361674,1315.7071533203125,1608.4605712890625,5.095464898599054,1.266778232412186,0.618076928155605,0.1486850308273466,0.8359420863371557,136.816650390625,1010.6121215820312,0.7333323160807291,3783.947998046875,4.8518297140413384,11.39603567123413,7.62819610595883,7.636574340493838,29.060017050195224,9.013696670532227,8.769670486450195
kodim18,train,140.2432861328125,65.61579895019531,-0.023452764376997948,-1.835733413696289,0.0034001668294270835,0.125,0.46787122786173835,170.6127471923828,409.3813171386719,1.11846420602024,0.5477501368410551,0.7758711979744506,0.3323498225620269,0.9666095273258185,35.808624267578125,659.545654296875,0.4267832438151042,2397.2939453125,7.681509497912451,141.93045043945312,6.7068847945028836,6.892374453218128,59.806860673731,21.152456283569336,12.640104293823242
kodim24,train,140.266845703125,65.59761810302734,-0.023917585611343384,-1.8350062370300293,0.0034586588541666665,0.125,0.4676630269008956,170.95147705078125,408.2323303222656,1.127619386799765,0.5512293308167853,0.7746837404141402,0.33201869154576963,0.9663218177314598,35.99320602416992,680.0541381835938,0.42789459228515625,2397.287109375,7.650094835462767,145.01369857788086,6.709038441693818,6.892704978885021,59.81328091331238,21.141233444213867,12.631545066833496
kodim07,train,109.87335205078125,37.0590705871582,-0.3148655295372009,-0.19099950790405273,0.042004903157552086,0.0028839111328125,0.3372889746072485,335.0948181152344,545.4901123046875,1.015038864089924,0.4574177950804669,0.816878473523626,0.27988836603065353,0.9070845659085252,53.64998245239258,954.0922241210938,0.40411376953125,502.6672058105469,1.8387504228468923,20.762428283691406,7.028972311166731,7.066242073597407,39.132105711513326,8.965423583984375,11.50653076171875
kodim11,train,93.00067138671875,41.68145751953125,-0.2861641049385071,-0.18802690505981445,0.1579411824544271,0.0035858154296875,0.4481844749058363,366.990234375,684.0169677734375,1.516317708237591,0.6108946621016813,0.7636804730491226,0.29604488401645807,0.8884177753082497,62.787200927734375,972.7318115234375,0.5287653605143229,1241.0284423828125,3.181017429042781,5.566627502441406,6.856493558544921,6.961933155835889,33.864477079924825,6.429826259613037,12.884892463684082
